Mon Oct 12 11:44:37 2020
Joystick Mode (120s)
{'Time': 13749, 'Left_wheel_dist': -2782, 'Right_wheel_dist': -2729, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 4.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13852, 'Left_wheel_dist': -2835, 'Right_wheel_dist': -2787, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.09, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13942, 'Left_wheel_dist': -2875, 'Right_wheel_dist': -2831, 'IMU_roll': 0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.09, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.90, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14046, 'Left_wheel_dist': -2924, 'Right_wheel_dist': -2882, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 4.09, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14149, 'Left_wheel_dist': -2966, 'Right_wheel_dist': -2937, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 10.04, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14253, 'Left_wheel_dist': -3008, 'Right_wheel_dist': -2988, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14343, 'Left_wheel_dist': -3046, 'Right_wheel_dist': -3033, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14447, 'Left_wheel_dist': -3097, 'Right_wheel_dist': -3088, 'IMU_roll': -0.04, 'IMU_pitch': -0.03, 'IMU_yaw': 4.17, 'IMU_Acc_x': -0.38, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14552, 'Left_wheel_dist': -3157, 'Right_wheel_dist': -3154, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 4.16, 'IMU_Acc_x': -0.37, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 9.76, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 14655, 'Left_wheel_dist': -3225, 'Right_wheel_dist': -3218, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 4.16, 'IMU_Acc_x': -0.33, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14746, 'Left_wheel_dist': -3283, 'Right_wheel_dist': -3276, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.17, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14851, 'Left_wheel_dist': -3354, 'Right_wheel_dist': -3351, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.16, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 14953, 'Left_wheel_dist': -3427, 'Right_wheel_dist': -3418, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15057, 'Left_wheel_dist': -3495, 'Right_wheel_dist': -3491, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15148, 'Left_wheel_dist': -3555, 'Right_wheel_dist': -3555, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 15251, 'Left_wheel_dist': -3626, 'Right_wheel_dist': -3621, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 10.05, 'Loop_dt': 24, 'Acc_Accu': 6}
