Sun Oct 11 08:33:53 2020
Joystick Mode (120s)
{'Time': 16246, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.29, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16349, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.29, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 16451, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.29, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16553, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.85, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16655, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.30, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16745, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 16847, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16950, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.31, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 17052, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17155, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
