Fri Aug 14 13:32:34 2020
Joystick Mode (120s)
{'Time': 12955, 'Left_wheel_dist': -201, 'Right_wheel_dist': -325, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.74, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13045, 'Left_wheel_dist': -221, 'Right_wheel_dist': -354, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.77, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13150, 'Left_wheel_dist': -243, 'Right_wheel_dist': -387, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.79, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 9.75, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13254, 'Left_wheel_dist': -265, 'Right_wheel_dist': -420, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13358, 'Left_wheel_dist': -287, 'Right_wheel_dist': -456, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13448, 'Left_wheel_dist': -309, 'Right_wheel_dist': -489, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.82, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.71, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 13552, 'Left_wheel_dist': -332, 'Right_wheel_dist': -529, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.84, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13657, 'Left_wheel_dist': -356, 'Right_wheel_dist': -562, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13760, 'Left_wheel_dist': -383, 'Right_wheel_dist': -595, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13864, 'Left_wheel_dist': -405, 'Right_wheel_dist': -628, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13955, 'Left_wheel_dist': -425, 'Right_wheel_dist': -657, 'IMU_roll': 0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.93, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.73, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14058, 'Left_wheel_dist': -444, 'Right_wheel_dist': -692, 'IMU_roll': 0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 5.96, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.75, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14162, 'Left_wheel_dist': -469, 'Right_wheel_dist': -728, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.99, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14254, 'Left_wheel_dist': -491, 'Right_wheel_dist': -757, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.01, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14357, 'Left_wheel_dist': -522, 'Right_wheel_dist': -792, 'IMU_roll': 0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 6.04, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14461, 'Left_wheel_dist': -551, 'Right_wheel_dist': -825, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 6.06, 'IMU_Acc_x': -0.23, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14553, 'Left_wheel_dist': -584, 'Right_wheel_dist': -858, 'IMU_roll': 0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 6.08, 'IMU_Acc_x': -0.66, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.66, 'Loop_dt': 25, 'Acc_Accu': 5}
{'Time': 14656, 'Left_wheel_dist': -624, 'Right_wheel_dist': -903, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 6.10, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14760, 'Left_wheel_dist': -664, 'Right_wheel_dist': -945, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.11, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14864, 'Left_wheel_dist': -706, 'Right_wheel_dist': -982, 'IMU_roll': 0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 6.13, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14954, 'Left_wheel_dist': -741, 'Right_wheel_dist': -1016, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.76, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15058, 'Left_wheel_dist': -783, 'Right_wheel_dist': -1051, 'IMU_roll': 0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 6.14, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15162, 'Left_wheel_dist': -823, 'Right_wheel_dist': -1091, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.15, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.90, 'Loop_dt': 23, 'Acc_Accu': 6}
