Wed Feb 10 13:42:49 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 12555, 'Left_wheel_dist': -504, 'Right_wheel_dist': -473, 'IMU_roll': 0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 6.26, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12655, 'Left_wheel_dist': -560, 'Right_wheel_dist': -518, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 6.26, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12755, 'Left_wheel_dist': -611, 'Right_wheel_dist': -564, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 6.26, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 10.37, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12854, 'Left_wheel_dist': -664, 'Right_wheel_dist': -611, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 6.25, 'IMU_Acc_x': 0.74, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 8.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12954, 'Left_wheel_dist': -712, 'Right_wheel_dist': -664, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 10.19, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13053, 'Left_wheel_dist': -768, 'Right_wheel_dist': -712, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 6.24, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 10.15, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13154, 'Left_wheel_dist': -814, 'Right_wheel_dist': -757, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 8.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13254, 'Left_wheel_dist': -867, 'Right_wheel_dist': -810, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 6.22, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13356, 'Left_wheel_dist': -918, 'Right_wheel_dist': -865, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 13455, 'Left_wheel_dist': -971, 'Right_wheel_dist': -912, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13554, 'Left_wheel_dist': -1020, 'Right_wheel_dist': -960, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13659, 'Left_wheel_dist': -1104, 'Right_wheel_dist': -985, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 6.14, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': -2.63, 'IMU_Acc_z': 10.01, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 13754, 'Left_wheel_dist': -1186, 'Right_wheel_dist': -1000, 'IMU_roll': -0.10, 'IMU_pitch': 0.05, 'IMU_yaw': 6.01, 'IMU_Acc_x': 1.24, 'IMU_Acc_y': -3.17, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13858, 'Left_wheel_dist': -1281, 'Right_wheel_dist': -1013, 'IMU_roll': -0.11, 'IMU_pitch': 0.05, 'IMU_yaw': 5.87, 'IMU_Acc_x': 1.44, 'IMU_Acc_y': -1.43, 'IMU_Acc_z': 9.96, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 13954, 'Left_wheel_dist': -1370, 'Right_wheel_dist': -1020, 'IMU_roll': -0.10, 'IMU_pitch': 0.07, 'IMU_yaw': 5.74, 'IMU_Acc_x': 1.72, 'IMU_Acc_y': -0.88, 'IMU_Acc_z': 9.81, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14058, 'Left_wheel_dist': -1472, 'Right_wheel_dist': -1027, 'IMU_roll': -0.11, 'IMU_pitch': 0.08, 'IMU_yaw': 5.57, 'IMU_Acc_x': 1.84, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 9.69, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14153, 'Left_wheel_dist': -1563, 'Right_wheel_dist': -1033, 'IMU_roll': -0.10, 'IMU_pitch': 0.11, 'IMU_yaw': 5.44, 'IMU_Acc_x': 1.75, 'IMU_Acc_y': -0.77, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 8}
