Wed Feb 10 13:32:47 2021
Program 7: 2s Stillstand, 3s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 12660, 'Left_wheel_dist': 500, 'Right_wheel_dist': -509, 'IMU_roll': 0.02, 'IMU_pitch': 0.19, 'IMU_yaw': 4.95, 'IMU_Acc_x': 2.26, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 10.04, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12761, 'Left_wheel_dist': 553, 'Right_wheel_dist': -557, 'IMU_roll': 0.01, 'IMU_pitch': 0.17, 'IMU_yaw': 5.07, 'IMU_Acc_x': 1.88, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 9.82, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12860, 'Left_wheel_dist': 597, 'Right_wheel_dist': -606, 'IMU_roll': 0.02, 'IMU_pitch': 0.18, 'IMU_yaw': 5.23, 'IMU_Acc_x': 1.80, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12960, 'Left_wheel_dist': 648, 'Right_wheel_dist': -657, 'IMU_roll': 0.04, 'IMU_pitch': 0.19, 'IMU_yaw': 5.39, 'IMU_Acc_x': 1.87, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13061, 'Left_wheel_dist': 695, 'Right_wheel_dist': -715, 'IMU_roll': 0.05, 'IMU_pitch': 0.19, 'IMU_yaw': 5.56, 'IMU_Acc_x': 2.29, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 10.14, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 13161, 'Left_wheel_dist': 746, 'Right_wheel_dist': -763, 'IMU_roll': 0.04, 'IMU_pitch': 0.19, 'IMU_yaw': 5.69, 'IMU_Acc_x': 1.78, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.24, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13261, 'Left_wheel_dist': 794, 'Right_wheel_dist': -810, 'IMU_roll': 0.05, 'IMU_pitch': 0.18, 'IMU_yaw': 5.85, 'IMU_Acc_x': 1.82, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13362, 'Left_wheel_dist': 845, 'Right_wheel_dist': -858, 'IMU_roll': 0.06, 'IMU_pitch': 0.18, 'IMU_yaw': 6.02, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13461, 'Left_wheel_dist': 892, 'Right_wheel_dist': -912, 'IMU_roll': 0.07, 'IMU_pitch': 0.18, 'IMU_yaw': 6.19, 'IMU_Acc_x': 1.91, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.63, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13560, 'Left_wheel_dist': 945, 'Right_wheel_dist': -960, 'IMU_roll': 0.08, 'IMU_pitch': 0.19, 'IMU_yaw': 0.07, 'IMU_Acc_x': 2.04, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 10.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13661, 'Left_wheel_dist': 994, 'Right_wheel_dist': -1009, 'IMU_roll': 0.07, 'IMU_pitch': 0.18, 'IMU_yaw': 0.23, 'IMU_Acc_x': 1.82, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.71, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13761, 'Left_wheel_dist': 1044, 'Right_wheel_dist': -1058, 'IMU_roll': 0.07, 'IMU_pitch': 0.18, 'IMU_yaw': 0.38, 'IMU_Acc_x': 1.93, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 10.00, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13861, 'Left_wheel_dist': 1093, 'Right_wheel_dist': -1109, 'IMU_roll': 0.06, 'IMU_pitch': 0.18, 'IMU_yaw': 0.53, 'IMU_Acc_x': 1.64, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.97, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13961, 'Left_wheel_dist': 1142, 'Right_wheel_dist': -1160, 'IMU_roll': 0.06, 'IMU_pitch': 0.17, 'IMU_yaw': 0.68, 'IMU_Acc_x': 1.81, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14061, 'Left_wheel_dist': 1186, 'Right_wheel_dist': -1206, 'IMU_roll': 0.08, 'IMU_pitch': 0.16, 'IMU_yaw': 0.86, 'IMU_Acc_x': 1.82, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14161, 'Left_wheel_dist': 1237, 'Right_wheel_dist': -1253, 'IMU_roll': 0.08, 'IMU_pitch': 0.17, 'IMU_yaw': 1.02, 'IMU_Acc_x': 1.81, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14261, 'Left_wheel_dist': 1286, 'Right_wheel_dist': -1306, 'IMU_roll': 0.07, 'IMU_pitch': 0.16, 'IMU_yaw': 1.18, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.62, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14362, 'Left_wheel_dist': 1339, 'Right_wheel_dist': -1354, 'IMU_roll': 0.06, 'IMU_pitch': 0.16, 'IMU_yaw': 1.38, 'IMU_Acc_x': 2.26, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 10.67, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14462, 'Left_wheel_dist': 1390, 'Right_wheel_dist': -1399, 'IMU_roll': 0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 1.56, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 10.00, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14560, 'Left_wheel_dist': 1441, 'Right_wheel_dist': -1445, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 1.73, 'IMU_Acc_x': 1.36, 'IMU_Acc_y': 0.67, 'IMU_Acc_z': 9.80, 'Loop_dt': 18, 'Acc_Accu': 8}
