Wed Feb 10 13:37:22 2021
Program 11: 1s Stillstand, 3.5s Kreisfahrt, Stillstand
{'Time': 13359, 'Left_wheel_dist': 1259, 'Right_wheel_dist': 611, 'IMU_roll': -0.06, 'IMU_pitch': 0.04, 'IMU_yaw': 3.35, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': -0.55, 'IMU_Acc_z': 10.12, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 13457, 'Left_wheel_dist': 1308, 'Right_wheel_dist': 635, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 7.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13556, 'Left_wheel_dist': 1361, 'Right_wheel_dist': 661, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.53, 'IMU_Acc_z': 9.50, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13656, 'Left_wheel_dist': 1410, 'Right_wheel_dist': 688, 'IMU_roll': -0.05, 'IMU_pitch': 0.05, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.76, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13755, 'Left_wheel_dist': 1456, 'Right_wheel_dist': 710, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 10.25, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13855, 'Left_wheel_dist': 1492, 'Right_wheel_dist': 728, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 3.36, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 10.03, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13956, 'Left_wheel_dist': 1523, 'Right_wheel_dist': 741, 'IMU_roll': -0.09, 'IMU_pitch': -0.00, 'IMU_yaw': 3.37, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -1.29, 'IMU_Acc_z': 10.18, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14053, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 754, 'IMU_roll': -0.06, 'IMU_pitch': -0.02, 'IMU_yaw': 3.41, 'IMU_Acc_x': -0.42, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 9.67, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 14151, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 3.38, 'IMU_Acc_x': -0.36, 'IMU_Acc_y': -0.71, 'IMU_Acc_z': 10.08, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14249, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14354, 'Left_wheel_dist': 1545, 'Right_wheel_dist': 761, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14451, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.35, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14555, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 759, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 14651, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 759, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14755, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14852, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.36, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 14956, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15052, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 759, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15155, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 759, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15252, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 759, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.33, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15356, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15452, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15556, 'Left_wheel_dist': 1543, 'Right_wheel_dist': 761, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.36, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
