Sun Oct 11 08:36:44 2020
Joystick Mode (120s)
{'Time': 12545, 'Left_wheel_dist': -312, 'Right_wheel_dist': -228, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.26, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12648, 'Left_wheel_dist': -312, 'Right_wheel_dist': -228, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.26, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 12748, 'Left_wheel_dist': -307, 'Right_wheel_dist': -228, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.26, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12850, 'Left_wheel_dist': -225, 'Right_wheel_dist': -163, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 6.24, 'IMU_Acc_x': 0.83, 'IMU_Acc_y': -0.69, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12951, 'Left_wheel_dist': -123, 'Right_wheel_dist': -66, 'IMU_roll': -0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13039, 'Left_wheel_dist': -28, 'Right_wheel_dist': 6, 'IMU_roll': -0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 6.16, 'IMU_Acc_x': 0.98, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 9.90, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13145, 'Left_wheel_dist': 22, 'Right_wheel_dist': 57, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 1.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 13248, 'Left_wheel_dist': 30, 'Right_wheel_dist': 75, 'IMU_roll': 0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 6.15, 'IMU_Acc_x': -1.37, 'IMU_Acc_y': 0.94, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 13340, 'Left_wheel_dist': 35, 'Right_wheel_dist': 84, 'IMU_roll': 0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 6.16, 'IMU_Acc_x': -0.99, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.90, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 13444, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 6.16, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 13547, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 6.17, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.86, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 13638, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 6.18, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 13741, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 6.18, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.85, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 13842, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.18, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 13944, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14047, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 14149, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14240, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 14343, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.85, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 14445, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14547, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14649, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14739, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 14841, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.85, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14946, 'Left_wheel_dist': 39, 'Right_wheel_dist': 86, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 15046, 'Left_wheel_dist': 53, 'Right_wheel_dist': 99, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.68, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15143, 'Left_wheel_dist': 146, 'Right_wheel_dist': 172, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 6.19, 'IMU_Acc_x': 1.04, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.95, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 15247, 'Left_wheel_dist': 170, 'Right_wheel_dist': 199, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 6.17, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.91, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15351, 'Left_wheel_dist': 174, 'Right_wheel_dist': 208, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.18, 'IMU_Acc_x': -1.08, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.79, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 15443, 'Left_wheel_dist': 177, 'Right_wheel_dist': 210, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 6.18, 'IMU_Acc_x': -0.51, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.90, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 15546, 'Left_wheel_dist': 177, 'Right_wheel_dist': 210, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15649, 'Left_wheel_dist': 177, 'Right_wheel_dist': 208, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15740, 'Left_wheel_dist': 177, 'Right_wheel_dist': 208, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 15847, 'Left_wheel_dist': 177, 'Right_wheel_dist': 208, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 15948, 'Left_wheel_dist': 216, 'Right_wheel_dist': 241, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16044, 'Left_wheel_dist': 267, 'Right_wheel_dist': 294, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 6.20, 'IMU_Acc_x': 1.23, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.96, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 16146, 'Left_wheel_dist': 274, 'Right_wheel_dist': 305, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 6.21, 'IMU_Acc_x': -0.92, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.69, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16250, 'Left_wheel_dist': 278, 'Right_wheel_dist': 309, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 6.21, 'IMU_Acc_x': -0.71, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.96, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16348, 'Left_wheel_dist': 278, 'Right_wheel_dist': 309, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 6.21, 'IMU_Acc_x': -0.19, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16448, 'Left_wheel_dist': 307, 'Right_wheel_dist': 334, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
