Wed Feb 10 13:36:28 2021
Program 11: 1s Stillstand, 3.5s Kreisfahrt, Stillstand
{'Time': 12554, 'Left_wheel_dist': 843, 'Right_wheel_dist': 402, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 0.54, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.30, 'IMU_Acc_z': 9.62, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12654, 'Left_wheel_dist': 892, 'Right_wheel_dist': 431, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 10.35, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12754, 'Left_wheel_dist': 945, 'Right_wheel_dist': 456, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.58, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12854, 'Left_wheel_dist': 991, 'Right_wheel_dist': 480, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12954, 'Left_wheel_dist': 1044, 'Right_wheel_dist': 506, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.63, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 10.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13053, 'Left_wheel_dist': 1093, 'Right_wheel_dist': 531, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.65, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13152, 'Left_wheel_dist': 1146, 'Right_wheel_dist': 555, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 0.67, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13251, 'Left_wheel_dist': 1195, 'Right_wheel_dist': 582, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.96, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13351, 'Left_wheel_dist': 1250, 'Right_wheel_dist': 608, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 0.73, 'IMU_Acc_x': 0.68, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13451, 'Left_wheel_dist': 1299, 'Right_wheel_dist': 635, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 0.74, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13551, 'Left_wheel_dist': 1350, 'Right_wheel_dist': 659, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.75, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13651, 'Left_wheel_dist': 1399, 'Right_wheel_dist': 681, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 10.64, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13751, 'Left_wheel_dist': 1447, 'Right_wheel_dist': 704, 'IMU_roll': 0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 0.82, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13859, 'Left_wheel_dist': 1487, 'Right_wheel_dist': 721, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 0.84, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.99, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13959, 'Left_wheel_dist': 1516, 'Right_wheel_dist': 737, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.85, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14054, 'Left_wheel_dist': 1529, 'Right_wheel_dist': 746, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.84, 'IMU_Acc_x': -0.69, 'IMU_Acc_y': -0.97, 'IMU_Acc_z': 9.84, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 14152, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 0.84, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 10.14, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14251, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.83, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14356, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 0.83, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
