Mon Aug 10 16:26:11 2020
Joystick Mode (60s)
{'Time': 15350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15441, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 15543, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.55, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15748, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.55, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 15849, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15940, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 16049, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.58, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.75, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 16140, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.49, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 16242, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.58, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.76, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16345, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.75, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 16446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16553, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 16653, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.56, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16753, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.76, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16854, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.55, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.54, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17053, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.55, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17154, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.95, 'IMU_Acc_x': -0.55, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17254, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.58, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17342, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.61, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17444, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.58, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17547, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.57, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17650, 'Left_wheel_dist': -8, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.49, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17753, 'Left_wheel_dist': -11, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.92, 'IMU_Acc_x': -0.60, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.78, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17855, 'Left_wheel_dist': -17, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': -0.07, 'IMU_yaw': 1.91, 'IMU_Acc_x': -0.80, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17945, 'Left_wheel_dist': -24, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.05, 'IMU_yaw': 1.88, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.70, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 18049, 'Left_wheel_dist': -30, 'Right_wheel_dist': -2, 'IMU_roll': 0.02, 'IMU_pitch': -0.07, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.64, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 18151, 'Left_wheel_dist': -42, 'Right_wheel_dist': -8, 'IMU_roll': 0.02, 'IMU_pitch': -0.09, 'IMU_yaw': 1.86, 'IMU_Acc_x': -1.11, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 9.76, 'Loop_dt': 23, 'Acc_Accu': 6}
