Wed Feb 10 13:42:14 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 12853, 'Left_wheel_dist': -657, 'Right_wheel_dist': -606, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.22, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.99, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12952, 'Left_wheel_dist': -710, 'Right_wheel_dist': -657, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.22, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.92, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13051, 'Left_wheel_dist': -761, 'Right_wheel_dist': -706, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.22, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13151, 'Left_wheel_dist': -812, 'Right_wheel_dist': -752, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.21, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.99, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13251, 'Left_wheel_dist': -861, 'Right_wheel_dist': -803, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.20, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 10.12, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13352, 'Left_wheel_dist': -914, 'Right_wheel_dist': -856, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.20, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13453, 'Left_wheel_dist': -965, 'Right_wheel_dist': -909, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.20, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.70, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13552, 'Left_wheel_dist': -1013, 'Right_wheel_dist': -958, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.20, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13657, 'Left_wheel_dist': -1098, 'Right_wheel_dist': -978, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -2.80, 'IMU_Acc_z': 10.04, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 13752, 'Left_wheel_dist': -1177, 'Right_wheel_dist': -994, 'IMU_roll': -0.08, 'IMU_pitch': 0.04, 'IMU_yaw': 0.03, 'IMU_Acc_x': 1.14, 'IMU_Acc_y': -2.71, 'IMU_Acc_z': 10.23, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13856, 'Left_wheel_dist': -1272, 'Right_wheel_dist': -1007, 'IMU_roll': -0.09, 'IMU_pitch': 0.05, 'IMU_yaw': 6.19, 'IMU_Acc_x': 1.58, 'IMU_Acc_y': -1.32, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13952, 'Left_wheel_dist': -1357, 'Right_wheel_dist': -1016, 'IMU_roll': -0.08, 'IMU_pitch': 0.06, 'IMU_yaw': 6.08, 'IMU_Acc_x': 1.46, 'IMU_Acc_y': -1.01, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14057, 'Left_wheel_dist': -1461, 'Right_wheel_dist': -1018, 'IMU_roll': -0.08, 'IMU_pitch': 0.07, 'IMU_yaw': 5.94, 'IMU_Acc_x': 1.60, 'IMU_Acc_y': -0.78, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14152, 'Left_wheel_dist': -1549, 'Right_wheel_dist': -1025, 'IMU_roll': -0.06, 'IMU_pitch': 0.09, 'IMU_yaw': 5.82, 'IMU_Acc_x': 1.80, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 10.45, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14256, 'Left_wheel_dist': -1647, 'Right_wheel_dist': -1027, 'IMU_roll': -0.07, 'IMU_pitch': 0.10, 'IMU_yaw': 5.67, 'IMU_Acc_x': 1.72, 'IMU_Acc_y': -0.60, 'IMU_Acc_z': 10.02, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 14351, 'Left_wheel_dist': -1735, 'Right_wheel_dist': -1031, 'IMU_roll': -0.08, 'IMU_pitch': 0.11, 'IMU_yaw': 5.54, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': -0.78, 'IMU_Acc_z': 9.41, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14454, 'Left_wheel_dist': -1833, 'Right_wheel_dist': -1033, 'IMU_roll': -0.09, 'IMU_pitch': 0.12, 'IMU_yaw': 5.39, 'IMU_Acc_x': 1.66, 'IMU_Acc_y': -0.94, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14551, 'Left_wheel_dist': -1926, 'Right_wheel_dist': -1038, 'IMU_roll': -0.08, 'IMU_pitch': 0.13, 'IMU_yaw': 5.25, 'IMU_Acc_x': 1.85, 'IMU_Acc_y': -0.55, 'IMU_Acc_z': 10.01, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14651, 'Left_wheel_dist': -2007, 'Right_wheel_dist': -1067, 'IMU_roll': -0.01, 'IMU_pitch': 0.11, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': 2.91, 'IMU_Acc_z': 9.71, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14751, 'Left_wheel_dist': -2081, 'Right_wheel_dist': -1109, 'IMU_roll': 0.05, 'IMU_pitch': 0.07, 'IMU_yaw': 5.09, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': 1.74, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14852, 'Left_wheel_dist': -2140, 'Right_wheel_dist': -1153, 'IMU_roll': 0.04, 'IMU_pitch': 0.07, 'IMU_yaw': 5.04, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.89, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 14951, 'Left_wheel_dist': -2200, 'Right_wheel_dist': -1199, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 5.02, 'IMU_Acc_x': 1.05, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 10.17, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15051, 'Left_wheel_dist': -2255, 'Right_wheel_dist': -1250, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 5.03, 'IMU_Acc_x': 0.92, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15152, 'Left_wheel_dist': -2309, 'Right_wheel_dist': -1299, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.93, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15252, 'Left_wheel_dist': -2360, 'Right_wheel_dist': -1341, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 5.09, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.95, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15351, 'Left_wheel_dist': -2408, 'Right_wheel_dist': -1383, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 5.09, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.51, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15452, 'Left_wheel_dist': -2459, 'Right_wheel_dist': -1436, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 5.12, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.91, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15552, 'Left_wheel_dist': -2510, 'Right_wheel_dist': -1485, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 5.12, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15652, 'Left_wheel_dist': -2561, 'Right_wheel_dist': -1532, 'IMU_roll': -0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 5.13, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15753, 'Left_wheel_dist': -2610, 'Right_wheel_dist': -1578, 'IMU_roll': 0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 5.14, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 10.10, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15854, 'Left_wheel_dist': -2665, 'Right_wheel_dist': -1631, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.15, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 10.08, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15955, 'Left_wheel_dist': -2714, 'Right_wheel_dist': -1682, 'IMU_roll': -0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.13, 'IMU_Acc_x': 0.68, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.54, 'Loop_dt': 19, 'Acc_Accu': 8}
