Mon Aug 10 17:50:42 2020
Joystick Mode (120s)
{'Time': 13339, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.54, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13440, 'Left_wheel_dist': -8, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.53, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13540, 'Left_wheel_dist': -17, 'Right_wheel_dist': -2, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.52, 'IMU_Acc_x': -0.24, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13641, 'Left_wheel_dist': -30, 'Right_wheel_dist': -8, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.50, 'IMU_Acc_x': -0.29, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13743, 'Left_wheel_dist': -46, 'Right_wheel_dist': -17, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.49, 'IMU_Acc_x': -0.36, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13843, 'Left_wheel_dist': -64, 'Right_wheel_dist': -30, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.48, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13944, 'Left_wheel_dist': -84, 'Right_wheel_dist': -44, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.46, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14046, 'Left_wheel_dist': -104, 'Right_wheel_dist': -59, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.44, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.74, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14147, 'Left_wheel_dist': -126, 'Right_wheel_dist': -75, 'IMU_roll': 0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 0.43, 'IMU_Acc_x': -0.43, 'IMU_Acc_y': 0.59, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14248, 'Left_wheel_dist': -154, 'Right_wheel_dist': -97, 'IMU_roll': 0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 0.43, 'IMU_Acc_x': -0.86, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.62, 'Loop_dt': 23, 'Acc_Accu': 6}
