Wed Feb 10 13:39:17 2021
Program 13: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei 0/1 m/s, 4 Wiederholungen
{'Time': 12561, 'Left_wheel_dist': -478, 'Right_wheel_dist': -442, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 10.04, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12662, 'Left_wheel_dist': -526, 'Right_wheel_dist': -493, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.89, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 10.10, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12763, 'Left_wheel_dist': -582, 'Right_wheel_dist': -546, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.95, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12863, 'Left_wheel_dist': -630, 'Right_wheel_dist': -595, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12962, 'Left_wheel_dist': -681, 'Right_wheel_dist': -639, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.68, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.00, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13064, 'Left_wheel_dist': -728, 'Right_wheel_dist': -686, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.96, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 13164, 'Left_wheel_dist': -781, 'Right_wheel_dist': -737, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13264, 'Left_wheel_dist': -827, 'Right_wheel_dist': -783, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13364, 'Left_wheel_dist': -881, 'Right_wheel_dist': -832, 'IMU_roll': 0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13463, 'Left_wheel_dist': -929, 'Right_wheel_dist': -881, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.99, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13562, 'Left_wheel_dist': -980, 'Right_wheel_dist': -934, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13658, 'Left_wheel_dist': -1000, 'Right_wheel_dist': -1000, 'IMU_roll': 0.08, 'IMU_pitch': 0.04, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 3.15, 'IMU_Acc_z': 9.59, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13763, 'Left_wheel_dist': -1016, 'Right_wheel_dist': -1087, 'IMU_roll': 0.16, 'IMU_pitch': 0.05, 'IMU_yaw': 5.89, 'IMU_Acc_x': 1.19, 'IMU_Acc_y': 3.40, 'IMU_Acc_z': 9.54, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 13859, 'Left_wheel_dist': -1025, 'Right_wheel_dist': -1175, 'IMU_roll': 0.13, 'IMU_pitch': 0.07, 'IMU_yaw': 5.98, 'IMU_Acc_x': 1.77, 'IMU_Acc_y': 1.33, 'IMU_Acc_z': 10.41, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13962, 'Left_wheel_dist': -1031, 'Right_wheel_dist': -1268, 'IMU_roll': 0.13, 'IMU_pitch': 0.09, 'IMU_yaw': 6.10, 'IMU_Acc_x': 1.45, 'IMU_Acc_y': 1.08, 'IMU_Acc_z': 9.48, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14058, 'Left_wheel_dist': -1036, 'Right_wheel_dist': -1365, 'IMU_roll': 0.12, 'IMU_pitch': 0.10, 'IMU_yaw': 6.23, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': 0.95, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14161, 'Left_wheel_dist': -1040, 'Right_wheel_dist': -1458, 'IMU_roll': 0.13, 'IMU_pitch': 0.11, 'IMU_yaw': 0.10, 'IMU_Acc_x': 1.63, 'IMU_Acc_y': 0.87, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14264, 'Left_wheel_dist': -1042, 'Right_wheel_dist': -1558, 'IMU_roll': 0.12, 'IMU_pitch': 0.12, 'IMU_yaw': 0.23, 'IMU_Acc_x': 1.45, 'IMU_Acc_y': 1.08, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14360, 'Left_wheel_dist': -1047, 'Right_wheel_dist': -1647, 'IMU_roll': 0.09, 'IMU_pitch': 0.12, 'IMU_yaw': 0.33, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': 0.91, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14464, 'Left_wheel_dist': -1051, 'Right_wheel_dist': -1751, 'IMU_roll': 0.11, 'IMU_pitch': 0.13, 'IMU_yaw': 0.48, 'IMU_Acc_x': 1.56, 'IMU_Acc_y': 0.99, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 14559, 'Left_wheel_dist': -1053, 'Right_wheel_dist': -1839, 'IMU_roll': 0.12, 'IMU_pitch': 0.13, 'IMU_yaw': 0.63, 'IMU_Acc_x': 1.86, 'IMU_Acc_y': 0.68, 'IMU_Acc_z': 10.16, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14659, 'Left_wheel_dist': -1087, 'Right_wheel_dist': -1923, 'IMU_roll': 0.06, 'IMU_pitch': 0.11, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -2.30, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
