Wed Feb 10 13:33:56 2021
Program 9: 1s Stillstand, Rampe von 0-1 m/s innerhalb 2s, Stillstand
{'Time': 12553, 'Left_wheel_dist': -907, 'Right_wheel_dist': -839, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 8.67, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12651, 'Left_wheel_dist': -998, 'Right_wheel_dist': -925, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.81, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 12751, 'Left_wheel_dist': -1038, 'Right_wheel_dist': -965, 'IMU_roll': 0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 5.81, 'IMU_Acc_x': 2.31, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.39, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12851, 'Left_wheel_dist': -1053, 'Right_wheel_dist': -987, 'IMU_roll': -0.01, 'IMU_pitch': 0.15, 'IMU_yaw': 5.79, 'IMU_Acc_x': 3.49, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12958, 'Left_wheel_dist': -1069, 'Right_wheel_dist': -1007, 'IMU_roll': -0.03, 'IMU_pitch': 0.20, 'IMU_yaw': 5.75, 'IMU_Acc_x': 3.68, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13057, 'Left_wheel_dist': -1075, 'Right_wheel_dist': -1016, 'IMU_roll': -0.03, 'IMU_pitch': 0.14, 'IMU_yaw': 5.72, 'IMU_Acc_x': 1.55, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13154, 'Left_wheel_dist': -1078, 'Right_wheel_dist': -1020, 'IMU_roll': -0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 5.72, 'IMU_Acc_x': 1.14, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.16, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13252, 'Left_wheel_dist': -1078, 'Right_wheel_dist': -1020, 'IMU_roll': -0.01, 'IMU_pitch': 0.12, 'IMU_yaw': 5.71, 'IMU_Acc_x': 0.87, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.76, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13358, 'Left_wheel_dist': -1078, 'Right_wheel_dist': -1020, 'IMU_roll': -0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 5.71, 'IMU_Acc_x': 0.75, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 13453, 'Left_wheel_dist': -1078, 'Right_wheel_dist': -1020, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.71, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13557, 'Left_wheel_dist': -1078, 'Right_wheel_dist': -1020, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 5.71, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
