Mon Aug 10 15:47:28 2020
Joystick Mode (60s)
{'Time': 13651, 'Left_wheel_dist': 141, 'Right_wheel_dist': -55, 'IMU_roll': -0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 5.60, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -1.15, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13753, 'Left_wheel_dist': 139, 'Right_wheel_dist': -55, 'IMU_roll': -0.05, 'IMU_pitch': -0.00, 'IMU_yaw': 5.60, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13855, 'Left_wheel_dist': 128, 'Right_wheel_dist': -59, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 5.60, 'IMU_Acc_x': -0.59, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.96, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13943, 'Left_wheel_dist': 108, 'Right_wheel_dist': -77, 'IMU_roll': -0.02, 'IMU_pitch': -0.07, 'IMU_yaw': 5.60, 'IMU_Acc_x': -2.11, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.67, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14047, 'Left_wheel_dist': 68, 'Right_wheel_dist': -110, 'IMU_roll': -0.01, 'IMU_pitch': -0.08, 'IMU_yaw': 5.60, 'IMU_Acc_x': -1.35, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.66, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 14150, 'Left_wheel_dist': 28, 'Right_wheel_dist': -148, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 5.60, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14254, 'Left_wheel_dist': 0, 'Right_wheel_dist': -183, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 5.61, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14344, 'Left_wheel_dist': -24, 'Right_wheel_dist': -212, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.61, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.66, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14447, 'Left_wheel_dist': -48, 'Right_wheel_dist': -241, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.62, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14551, 'Left_wheel_dist': -68, 'Right_wheel_dist': -267, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.62, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14653, 'Left_wheel_dist': -86, 'Right_wheel_dist': -298, 'IMU_roll': 0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.65, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': 0.88, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14757, 'Left_wheel_dist': -101, 'Right_wheel_dist': -334, 'IMU_roll': 0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.68, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14848, 'Left_wheel_dist': -121, 'Right_wheel_dist': -369, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.71, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14950, 'Left_wheel_dist': -154, 'Right_wheel_dist': -407, 'IMU_roll': -0.02, 'IMU_pitch': -0.03, 'IMU_yaw': 5.72, 'IMU_Acc_x': -0.89, 'IMU_Acc_y': -1.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15052, 'Left_wheel_dist': -199, 'Right_wheel_dist': -451, 'IMU_roll': -0.04, 'IMU_pitch': -0.05, 'IMU_yaw': 5.72, 'IMU_Acc_x': -1.03, 'IMU_Acc_y': -0.77, 'IMU_Acc_z': 9.73, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15154, 'Left_wheel_dist': -254, 'Right_wheel_dist': -498, 'IMU_roll': -0.02, 'IMU_pitch': -0.05, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.50, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15256, 'Left_wheel_dist': -312, 'Right_wheel_dist': -551, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.24, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15345, 'Left_wheel_dist': -365, 'Right_wheel_dist': -604, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15448, 'Left_wheel_dist': -422, 'Right_wheel_dist': -659, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15549, 'Left_wheel_dist': -482, 'Right_wheel_dist': -710, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15651, 'Left_wheel_dist': -540, 'Right_wheel_dist': -766, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15754, 'Left_wheel_dist': -595, 'Right_wheel_dist': -821, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 10.23, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15855, 'Left_wheel_dist': -655, 'Right_wheel_dist': -874, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.71, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.14, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15958, 'Left_wheel_dist': -712, 'Right_wheel_dist': -925, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.71, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.48, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 16047, 'Left_wheel_dist': -766, 'Right_wheel_dist': -976, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.70, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.12, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16148, 'Left_wheel_dist': -823, 'Right_wheel_dist': -1033, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 5.70, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16250, 'Left_wheel_dist': -881, 'Right_wheel_dist': -1087, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 5.70, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16353, 'Left_wheel_dist': -938, 'Right_wheel_dist': -1140, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.70, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16455, 'Left_wheel_dist': -996, 'Right_wheel_dist': -1197, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.69, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.75, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16558, 'Left_wheel_dist': -1056, 'Right_wheel_dist': -1253, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.69, 'IMU_Acc_x': -0.19, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.84, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 16647, 'Left_wheel_dist': -1106, 'Right_wheel_dist': -1299, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 5.68, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.71, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16749, 'Left_wheel_dist': -1168, 'Right_wheel_dist': -1354, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 5.68, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.22, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16851, 'Left_wheel_dist': -1222, 'Right_wheel_dist': -1414, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 10.00, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16955, 'Left_wheel_dist': -1275, 'Right_wheel_dist': -1467, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17059, 'Left_wheel_dist': -1326, 'Right_wheel_dist': -1514, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17149, 'Left_wheel_dist': -1365, 'Right_wheel_dist': -1554, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17253, 'Left_wheel_dist': -1403, 'Right_wheel_dist': -1596, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17357, 'Left_wheel_dist': -1439, 'Right_wheel_dist': -1629, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.76, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17448, 'Left_wheel_dist': -1470, 'Right_wheel_dist': -1651, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17552, 'Left_wheel_dist': -1494, 'Right_wheel_dist': -1673, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
